GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Innlevering: Core,no.kristiania.pgr200.core,HttpReadWrite,69,0,10,0,17,0,9,0,4,0
Innlevering: Core,no.kristiania.pgr200.core,HttpHeaders,123,0,8,0,28,0,14,0,10,0
Innlevering: Core,no.kristiania.pgr200.core,PropertyReader,46,0,0,0,12,0,4,0,4,0
Innlevering: Core,no.kristiania.pgr200.core,Conference,26,0,0,0,12,0,6,0,6,0
Innlevering: Core,no.kristiania.pgr200.core,JSONConverter,17,0,0,0,4,0,3,0,3,0
Innlevering: Core,no.kristiania.pgr200.core,Utils,3,0,0,0,1,0,1,0,1,0
Innlevering: Core,no.kristiania.pgr200.core,HttpPath,27,37,0,2,5,9,4,3,4,2
Innlevering: Core,no.kristiania.pgr200.core,Talk,68,0,0,0,20,0,11,0,11,0
Innlevering: Core,no.kristiania.pgr200.core,HttpPostRequest,3,0,0,0,1,0,1,0,1,0
Innlevering: Core,no.kristiania.pgr200.core,HttpQuery,84,75,9,5,18,16,11,5,5,4
Innlevering: Core,no.kristiania.pgr200.core,HttpRequest,129,0,4,0,34,0,10,0,8,0
Innlevering: Core,no.kristiania.pgr200.core,HttpResponse,91,0,0,0,19,0,9,0,9,0
